gru_units,lstm_units,dropout_rate,learning_rate,batch_size,optimizer,val_loss,best_epoch,train_time_seconds
96,32,0.25,0.0005,32,adam,0.006607231218367815,14,17.808080196380615
96,64,0.25,0.0005,32,adam,0.005113911349326372,29,26.541619777679443
96,96,0.25,0.0005,32,adam,0.004548485856503248,27,27.44603657722473
96,32,0.25,0.001,32,adam,0.00805625505745411,23,23.59672474861145
96,64,0.25,0.001,32,adam,0.00660160556435585,19,20.766376733779907
96,96,0.25,0.001,32,adam,0.009062405675649643,30,28.62765860557556
96,32,0.25,0.002,32,adam,0.0034555934835225344,24,24.963663339614868
96,64,0.25,0.002,32,adam,0.004777246620506048,27,28.006010055541992
96,96,0.25,0.002,32,adam,0.0046544382348656654,25,24.58699679374695
128,32,0.25,0.0005,32,adam,0.019305765628814697,15,20.248146057128906
128,64,0.25,0.0005,32,adam,0.008701878599822521,17,20.16624093055725
128,96,0.25,0.0005,32,adam,0.00474358769133687,22,24.23456883430481
128,32,0.25,0.001,32,adam,0.00571539206430316,15,19.21946620941162
128,64,0.25,0.001,32,adam,0.007448240183293819,32,30.149842739105225
128,96,0.25,0.001,32,adam,0.010087952017784119,41,35.26589250564575
128,32,0.25,0.002,32,adam,0.004278522450476885,36,32.58848285675049
128,64,0.25,0.002,32,adam,0.006966894492506981,22,24.177141189575195
128,96,0.25,0.002,32,adam,0.004038725048303604,37,35.949851989746094
160,32,0.25,0.0005,32,adam,0.007144493982195854,11,17.100242137908936
160,64,0.25,0.0005,32,adam,0.005349819082766771,19,22.63250756263733
160,96,0.25,0.0005,32,adam,0.005531023722141981,33,31.32319712638855
160,32,0.25,0.001,32,adam,0.005967563018202782,17,20.446465730667114
160,64,0.25,0.001,32,adam,0.006254700478166342,24,24.639795064926147
160,96,0.25,0.001,32,adam,0.00728011317551136,26,26.984344482421875
160,32,0.25,0.002,32,adam,0.003951572347432375,49,36.79558062553406
160,64,0.25,0.002,32,adam,0.005031061824411154,33,31.155338048934937
160,96,0.25,0.002,32,adam,0.0021307882852852345,19,23.418563842773438
96,32,0.3,0.0005,32,adam,0.019631968811154366,29,32.601102352142334
96,64,0.3,0.0005,32,adam,0.011168274097144604,19,21.92973494529724
96,96,0.3,0.0005,32,adam,0.007456449791789055,17,22.4038348197937
96,32,0.3,0.001,32,adam,0.005148713011294603,19,23.60893201828003
96,64,0.3,0.001,32,adam,0.0050185080617666245,27,29.75094437599182
96,96,0.3,0.001,32,adam,0.006902975961565971,23,26.78954577445984
96,32,0.3,0.002,32,adam,0.003965103067457676,29,29.335788249969482
96,64,0.3,0.002,32,adam,0.0026080410461872816,32,31.643097162246704
96,96,0.3,0.002,32,adam,0.0019362354651093483,23,27.097618103027344
128,32,0.3,0.0005,32,adam,0.00411482946947217,27,28.046587228775024
128,64,0.3,0.0005,32,adam,0.007925289683043957,9,16.692740440368652
128,96,0.3,0.0005,32,adam,0.0049562156200408936,47,37.68677377700806
128,32,0.3,0.001,32,adam,0.007524715270847082,32,33.97907376289368
128,64,0.3,0.001,32,adam,0.006625534500926733,27,29.032840728759766
128,96,0.3,0.001,32,adam,0.005751649383455515,19,23.038417100906372
128,32,0.3,0.002,32,adam,0.005936123430728912,31,32.32685732841492
128,64,0.3,0.002,32,adam,0.005902920849621296,23,26.002811908721924
128,96,0.3,0.002,32,adam,0.0030579096637666225,34,36.70910882949829
160,32,0.3,0.0005,32,adam,0.016566190868616104,19,24.639652252197266
160,64,0.3,0.0005,32,adam,0.00851694867014885,21,25.34217882156372
160,96,0.3,0.0005,32,adam,0.013782672584056854,12,20.200433015823364
160,32,0.3,0.001,32,adam,0.006300092209130526,17,22.761353254318237
160,64,0.3,0.001,32,adam,0.00816397089511156,37,35.09754705429077
160,96,0.3,0.001,32,adam,0.003705698763951659,31,32.5381875038147
160,32,0.3,0.002,32,adam,0.0053638312965631485,22,26.288624048233032
160,64,0.3,0.002,32,adam,0.00941517949104309,17,23.643918752670288
160,96,0.3,0.002,32,adam,0.0034975081216543913,41,43.60825443267822
96,32,0.35,0.0005,32,adam,0.03000849485397339,11,19.88545036315918
96,64,0.35,0.0005,32,adam,0.011467319913208485,32,33.41208267211914
96,96,0.35,0.0005,32,adam,0.003349868580698967,18,22.398402452468872
96,32,0.35,0.001,32,adam,0.007566437590867281,48,38.45940375328064
96,64,0.35,0.001,32,adam,0.004930794704705477,37,36.39813733100891
96,96,0.35,0.001,32,adam,0.005249667912721634,26,30.495371103286743
96,32,0.35,0.002,32,adam,0.0029503011610358953,49,40.99260592460632
96,64,0.35,0.002,32,adam,0.009564428590238094,16,24.39848232269287
96,96,0.35,0.002,32,adam,0.0026042633689939976,20,25.36363673210144
128,32,0.35,0.0005,32,adam,0.014186397194862366,11,19.035228729248047
128,64,0.35,0.0005,32,adam,0.015730271115899086,17,23.42462396621704
128,96,0.35,0.0005,32,adam,0.011612228117883205,12,21.394166946411133
128,32,0.35,0.001,32,adam,0.006546234246343374,39,40.78043794631958
128,64,0.35,0.001,32,adam,0.005231231916695833,31,34.70766305923462
128,96,0.35,0.001,32,adam,0.010013322345912457,18,24.497263431549072
128,32,0.35,0.002,32,adam,0.00561147416010499,28,35.223525524139404
128,64,0.35,0.002,32,adam,0.0044328439980745316,17,30.371997594833374
128,96,0.35,0.002,32,adam,0.00500462856143713,14,24.578421354293823
160,32,0.35,0.0005,32,adam,0.0217222198843956,9,23.043126344680786
160,64,0.35,0.0005,32,adam,0.004625699017196894,43,50.53576612472534
160,96,0.35,0.0005,32,adam,0.006257571280002594,15,25.287519216537476
160,32,0.35,0.001,32,adam,0.01667584851384163,19,27.169888496398926
160,64,0.35,0.001,32,adam,0.0055787404999136925,24,31.849635362625122
160,96,0.35,0.001,32,adam,0.009025678969919682,22,31.658113718032837
160,32,0.35,0.002,32,adam,0.0058353133499622345,36,39.289021253585815
160,64,0.35,0.002,32,adam,0.004817652050405741,17,25.611064672470093
160,96,0.35,0.002,32,adam,0.0025246706791222095,50,41.95891737937927
