Date,Total_Exchanges_netflow
2019-01-01,-2626.32592
2019-01-02,-5017.271304
2019-01-03,241.3137133
2019-01-04,-4140.009178
2019-01-05,6421.621364
2019-01-06,3570.951829
2019-01-07,2360.740305
2019-01-08,75.06350033
2019-01-09,-3486.082472
2019-01-10,-11232.21571
2019-01-11,-4191.170306
2019-01-12,-1762.539928
2019-01-13,-95.75191403
2019-01-14,352.8668134
2019-01-15,1139.950765
2019-01-16,4137.386428
2019-01-17,-937.0297421
2019-01-18,-3500.694405
2019-01-19,-61.61833918
2019-01-20,557.4153759
2019-01-21,-3820.074188
2019-01-22,-2697.107473
2019-01-23,126.544598
2019-01-24,-2299.031484
2019-01-25,-2983.154796
2019-01-26,1556.756156
2019-01-27,-81.38123726
2019-01-28,-2616.04941
2019-01-29,-1073.442815
2019-01-30,779.6516274
2019-01-31,1787.996156
2019-02-01,-1897.376374
2019-02-02,-2795.605514
2019-02-03,-852.0772712
2019-02-04,1201.709351
2019-02-05,4100.411297
2019-02-06,-1212.800137
2019-02-07,8578.032392
2019-02-08,3071.6788
2019-02-09,2242.897049
2019-02-10,-2629.440146
2019-02-11,-5675.131171
2019-02-12,1317.623816
2019-02-13,2870.986305
2019-02-14,281.1912814
2019-02-15,-7546.456897
2019-02-16,3748.590159
2019-02-17,-749.5365493
2019-02-18,-3211.661624
2019-02-19,2623.558121
2019-02-20,-3888.795363
2019-02-21,-676.7015959
2019-02-22,2513.423932
2019-02-23,-2390.443546
2019-02-24,-4050.35789
2019-02-25,-3402.548242
2019-02-26,1645.751477
2019-02-27,79.07056322
2019-02-28,91.25170533
2019-03-01,-5344.300131
2019-03-02,643.2140247
2019-03-03,755.4190369
2019-03-04,1018.116225
2019-03-05,2036.428663
2019-03-06,-5742.552669
2019-03-07,2351.279555
2019-03-08,-3426.296944
2019-03-09,177.57248
2019-03-10,-625.4316985
2019-03-11,-2295.192264
2019-03-12,4507.724689
2019-03-13,1610.87253
2019-03-14,-2790.291081
2019-03-15,-1331.991088
2019-03-16,1116.206797
2019-03-17,-299.0352858
2019-03-18,-2142.924794
2019-03-19,1527.434669
2019-03-20,9201.341839
2019-03-21,-1754.846327
2019-03-22,-3541.020129
2019-03-23,-1950.354668
2019-03-24,475.7925576
2019-03-25,-2056.876424
2019-03-26,4930.519884
2019-03-27,1452.284522
2019-03-28,41.24282805
2019-03-29,3924.843195
2019-03-30,-2465.830201
2019-03-31,3157.051268
2019-04-01,-7099.147572
2019-04-02,7762.267368
2019-04-03,4664.890443
2019-04-04,-5975.569341
2019-04-05,4050.03332
2019-04-06,-1589.418491
2019-04-07,-2257.1993
2019-04-08,-338.1724929
2019-04-09,-746.5940156
2019-04-10,-6982.15116
2019-04-11,-208.3369965
2019-04-12,1210.207965
2019-04-13,-3229.986627
